datetime,open,high,low,close,volume
2023-11-06 18:30:00+00,1008,1022.2,1005.25,1020.9,6559859
2023-11-07 18:30:00+00,1024,1026.95,1015.6,1021.7,7643314
2023-11-08 18:30:00+00,1024.75,1028.85,1016.65,1021.9,4407935
2023-11-09 18:30:00+00,1017.9,1031,1016.65,1029.2,3294063
2023-11-12 18:30:00+00,1030.05,1031.85,1023.5,1025.35,5985481
2023-11-12 18:30:00+00,1030.05,1031.85,1023.5,1025.35,5985481
2023-11-14 18:30:00+00,1045,1045,1031.55,1041.35,7240388
2023-11-15 18:30:00+00,1042.8,1044,1022.15,1026.35,6908825
2023-11-16 18:30:00+00,1014.9,1020,991.85,994.35,13268353
2023-11-19 18:30:00+00,981,994.75,980.35,988.7,8215656
2023-11-20 18:30:00+00,989.95,997.5,986.65,991.8,7061614
2023-11-21 18:30:00+00,991,999.9,988,998.1,6103988
2023-11-22 18:30:00+00,999,1003.4,995.4,999.05,3112891
2023-11-23 18:30:00+00,1002,1010.75,999.7,1008.5,6956281
2023-11-23 18:30:00+00,1002,1010.75,999.7,1008.5,6956281
2023-11-27 18:30:00+00,1013.05,1021.95,1009.25,1021.15,6173384
2023-11-28 18:30:00+00,1027.15,1063.5,1021.15,1060.15,9422396
2023-11-29 18:30:00+00,1062.7,1080.9,1055.45,1074.25,24755589
2023-11-30 18:30:00+00,1075.4,1109,1070.2,1104.65,14428758
2023-12-03 18:30:00+00,1120.5,1129,1099.1,1125.6,14043213
2023-12-03 18:30:00+00,1120.5,1129,1099.1,1125.6,14043213
2023-12-05 18:30:00+00,1135.1,1145.7,1117.95,1120.5,7342767
2023-12-06 18:30:00+00,1119.25,1129.6,1108.5,1117.85,6439419
2023-12-06 18:30:00+00,1119.25,1129.6,1108.5,1117.85,6439419
2023-12-10 18:30:00+00,1129,1139.4,1113.85,1116.5,6924589
2023-12-11 18:30:00+00,1120,1133.9,1109,1131,9044111
2023-12-12 18:30:00+00,1150,1151,1111.45,1114.85,8184523
2023-12-13 18:30:00+00,1132.4,1138.6,1117.9,1120.45,9421193
2023-12-14 18:30:00+00,1119.2,1127.85,1108.6,1120.35,12048410
2023-12-17 18:30:00+00,1119.7,1120,1107.2,1111.35,7922468
2023-12-18 18:30:00+00,1123.8,1126.85,1114.2,1120.25,6824641
2023-12-19 18:30:00+00,1122,1123.85,1102.7,1110.25,9848057
2023-12-20 18:30:00+00,1103.9,1103.9,1077.2,1095.4,10914682
2023-12-21 18:30:00+00,1095.4,1106.3,1085.8,1088.3,10600025
2023-12-21 18:30:00+00,1095.4,1106.3,1085.8,1088.3,10600025
2023-12-25 18:30:00+00,1091.2,1100.65,1086.7,1094.25,5687517
2023-12-26 18:30:00+00,1096.05,1110.55,1089.65,1106.35,6132936
2023-12-27 18:30:00+00,1107.25,1113,1098,1107.85,14097667
2023-12-28 18:30:00+00,1101.45,1106.85,1093.95,1102.3,8786731
2023-12-31 18:30:00+00,1095,1104,1093,1097.7,4083732
2024-01-01 18:30:00+00,1095.1,1099.35,1082.3,1093.25,7895577
2024-01-02 18:30:00+00,1091,1102.6,1081.3,1098.6,10225290
2024-01-03 18:30:00+00,1103,1130,1100.05,1123.4,11411683
2024-01-03 18:30:00+00,1103,1130,1100.05,1123.4,11411683
2024-01-07 18:30:00+00,1145,1146,1118.5,1122,4735538
2024-01-07 18:30:00+00,1145,1146,1118.5,1122,4735538
2024-01-09 18:30:00+00,1115.25,1116,1099.05,1107,5934163
2024-01-10 18:30:00+00,1111.05,1127.9,1111.05,1125.75,4683035
2024-01-11 18:30:00+00,1126.35,1129.45,1118.05,1120.35,5616755
2024-01-14 18:30:00+00,1122,1130.45,1116.6,1119.5,6719079
2024-01-15 18:30:00+00,1116.65,1127.8,1115.1,1119.1,5229753
2024-01-16 18:30:00+00,1082,1115,1079.2,1082.3,24913719
2024-01-17 18:30:00+00,1066,1108.75,1066,1097.5,11473135
2024-01-18 18:30:00+00,1107.15,1126.3,1105,1116.55,12303696
2024-01-18 18:30:00+00,1107.15,1126.3,1105,1116.55,12303696
2024-01-22 18:30:00+00,1125.9,1141.6,1078.8,1089.25,18924087
2024-01-23 18:30:00+00,1034.8,1073.2,1020.9,1059.15,20884046
2024-01-24 18:30:00+00,1058,1063.7,1025.8,1042.25,20835434
2024-01-24 18:30:00+00,1058,1063.7,1025.8,1042.25,20835434
2024-01-28 18:30:00+00,1036,1068,1036,1061.25,11188604
2024-01-29 18:30:00+00,1060.05,1070.45,1050.8,1054.1,9426983
2024-01-30 18:30:00+00,1048.2,1084.1,1042.7,1067.75,12600390
2024-01-31 18:30:00+00,1072.65,1087.65,1056.8,1084.25,9756682
2024-02-01 18:30:00+00,1088.05,1096.2,1065,1067.05,8667415
2024-02-04 18:30:00+00,1067.05,1079.5,1058,1061.5,12569454
2024-02-05 18:30:00+00,1061.55,1065.1,1048.2,1050.05,8011171
2024-02-06 18:30:00+00,1061.05,1073.7,1057.5,1069.1,7281793
2024-02-07 18:30:00+00,1072,1075.6,1031.65,1035.9,9869141
2024-02-07 18:30:00+00,1072,1075.6,1031.65,1035.9,9869141
2024-02-11 18:30:00+00,1051.4,1057.25,1035.35,1046.7,8694379
2024-02-12 18:30:00+00,1051,1075.55,1044.8,1070.75,8413609
2024-02-13 18:30:00+00,1061.3,1100.9,1060.55,1096.85,16609115
2024-02-14 18:30:00+00,1097.5,1097.55,1069.25,1072.2,11780823
2024-02-15 18:30:00+00,1073,1076,1058,1068.75,8660907
2024-02-18 18:30:00+00,1069,1070,1060.1,1062.95,7562645
2024-02-19 18:30:00+00,1059,1090.5,1057.7,1088.6,8722800
2024-02-20 18:30:00+00,1093.85,1093.95,1073.1,1084.2,9177213
