close,exchange,high,instrumentidentifier,tradedqty,lasttradetime,low,open,openinterest
23.25,NFO,23.9,NIFTY25MAY2318500CE,477000,2023-05-23 09:51:00+00,22.6,22.7,9922000
121.45,NFO,123,NIFTY25MAY2318500PE,130550,2023-05-23 09:51:00+00,119.45,122.6,2553750
122,NFO,122.2,NIFTY25MAY2318500PE,107300,2023-05-23 09:52:00+00,118.35,121.7,2553750
22.95,NFO,24.05,NIFTY25MAY2318500CE,379800,2023-05-23 09:52:00+00,22.95,23.25,9922000
121.3,NFO,121.4,NIFTY25MAY2318500PE,120050,2023-05-23 09:53:00+00,117,121.4,2609350
23.25,NFO,24.45,NIFTY25MAY2318500CE,397000,2023-05-23 09:53:00+00,23.1,23.1,9915500
121.25,NFO,123,NIFTY25MAY2318500PE,116900,2023-05-23 09:54:00+00,120.9,120.9,2609350
23.25,NFO,23.35,NIFTY25MAY2318500CE,313450,2023-05-23 09:54:00+00,22.7,23.3,9915500
25.2,NFO,25.45,NIFTY25MAY2318500CE,534050,2023-05-23 09:55:00+00,23,23.3,9915500
113.95,NFO,121.6,NIFTY25MAY2318500PE,233550,2023-05-23 09:55:00+00,112.25,120.75,2609350
114.45,NFO,116.75,NIFTY25MAY2318500PE,171500,2023-05-23 09:56:00+00,113.65,114,2584350
24.9,NFO,25.3,NIFTY25MAY2318500CE,545100,2023-05-23 09:56:00+00,24.1,25.1,9985050
116.05,NFO,117.7,NIFTY25MAY2318500PE,52350,2023-05-23 09:57:00+00,114.6,114.6,2584350
24.6,NFO,24.95,NIFTY25MAY2318500CE,290750,2023-05-23 09:57:00+00,24.05,24.9,9985050
24.05,NFO,24.5,NIFTY25MAY2318500CE,377700,2023-05-23 09:58:00+00,23.35,24.5,9985050
118.7,NFO,120,NIFTY25MAY2318500PE,92350,2023-05-23 09:58:00+00,116.05,116.05,2584350
24.5,NFO,24.6,NIFTY25MAY2318500CE,284700,2023-05-23 09:59:00+00,23.75,24.2,10052950
117,NFO,119.5,NIFTY25MAY2318500PE,71750,2023-05-23 09:59:00+00,116.9,117.8,2628250
24.5,NFO,25.2,NIFTY25MAY2318500CE,382900,2023-05-23 10:00:00+00,24.4,24.4,10052950
116.35,NFO,117.1,NIFTY25MAY2318500PE,125700,2023-05-23 10:00:00+00,114,117.1,2628250
22.85,NFO,24.6,NIFTY25MAY2318500CE,429150,2023-05-23 10:01:00+00,22.75,24.45,10052950
121.25,NFO,121.75,NIFTY25MAY2318500PE,151500,2023-05-23 10:01:00+00,115.9,116.35,2628250
23.05,NFO,23.75,NIFTY25MAY2318500CE,404700,2023-05-23 10:02:00+00,22.85,23,10070450
121.65,NFO,122.45,NIFTY25MAY2318500PE,151900,2023-05-23 10:02:00+00,119.4,121.55,2674250
117.65,NFO,121.8,NIFTY25MAY2318500PE,83500,2023-05-23 10:03:00+00,117.5,121.05,2674250
24,NFO,24,NIFTY25MAY2318500CE,494450,2023-05-23 10:03:00+00,23.05,23.15,10070450
23,NFO,24.1,NIFTY25MAY2318500CE,440800,2023-05-23 10:04:00+00,22.95,24,10070450
121,NFO,121.6,NIFTY25MAY2318500PE,60650,2023-05-23 10:04:00+00,117.05,117.85,2674250
22.95,NFO,23.8,NIFTY25MAY2318500CE,993900,2023-05-23 10:05:00+00,21,23.15,10212250
121.35,NFO,127.55,NIFTY25MAY2318500PE,298250,2023-05-23 10:05:00+00,119.4,121.1,2681650
23,NFO,24.05,NIFTY25MAY2318500CE,505250,2023-05-23 10:06:00+00,22.75,22.75,10212250
120.6,NFO,121.9,NIFTY25MAY2318500PE,151250,2023-05-23 10:06:00+00,116.45,121.7,2681650
22.65,NFO,23.1,NIFTY25MAY2318500CE,249650,2023-05-23 10:07:00+00,22.2,23,10212250
121.65,NFO,123,NIFTY25MAY2318500PE,67850,2023-05-23 10:07:00+00,120,120.5,2681650
122.45,NFO,122.85,NIFTY25MAY2318500PE,62700,2023-05-23 10:08:00+00,119.2,122.85,2685700
22.6,NFO,23.4,NIFTY25MAY2318500CE,214900,2023-05-23 10:08:00+00,22.35,22.35,10225500
22.35,NFO,23.1,NIFTY25MAY2318500CE,223900,2023-05-23 10:09:00+00,22.25,22.35,10225500
122.85,NFO,123.2,NIFTY25MAY2318500PE,77000,2023-05-23 10:09:00+00,120.6,122.75,2685700
22.7,NFO,22.85,NIFTY25MAY2318500CE,340000,2023-05-23 10:10:00+00,21.9,22.25,10225500
120.6,NFO,124.3,NIFTY25MAY2318500PE,136400,2023-05-23 10:10:00+00,120.4,123.2,2685700
117.6,NFO,120.3,NIFTY25MAY2318500PE,102800,2023-05-23 10:11:00+00,116.9,120.3,2693100
23.45,NFO,23.6,NIFTY25MAY2318500CE,336150,2023-05-23 10:11:00+00,22.85,22.85,10214650
122,NFO,122.7,NIFTY25MAY2318500PE,79500,2023-05-23 10:12:00+00,116.8,118.15,2693100
22.7,NFO,23.65,NIFTY25MAY2318500CE,350400,2023-05-23 10:12:00+00,22.3,23.2,10214650
120.2,NFO,122.8,NIFTY25MAY2318500PE,37800,2023-05-23 10:13:00+00,119.35,121.65,2693100
22.95,NFO,23.35,NIFTY25MAY2318500CE,352800,2023-05-23 10:13:00+00,22.35,22.75,10214650
22.9,NFO,23.25,NIFTY25MAY2318500CE,433300,2023-05-23 10:14:00+00,22.25,22.9,10312800
119.85,NFO,122.5,NIFTY25MAY2318500PE,59200,2023-05-23 10:14:00+00,118.2,119.85,2696700
119.45,NFO,122.75,NIFTY25MAY2318500PE,93900,2023-05-23 10:15:00+00,118,119.95,2696700
23.1,NFO,23.4,NIFTY25MAY2318500CE,538600,2023-05-23 10:15:00+00,22.05,22.95,10312800
22.5,NFO,23.95,NIFTY25MAY2318500CE,747900,2023-05-23 10:16:00+00,21.7,23.2,10312800
120.85,NFO,122.8,NIFTY25MAY2318500PE,143950,2023-05-23 10:16:00+00,115.5,118.9,2696700
120.8,NFO,122.5,NIFTY25MAY2318500PE,80800,2023-05-23 10:17:00+00,119.85,120.7,2708000
22.2,NFO,22.45,NIFTY25MAY2318500CE,346400,2023-05-23 10:17:00+00,21.85,22.45,10207700
125.1,NFO,125.4,NIFTY25MAY2318500PE,193100,2023-05-23 10:18:00+00,120.45,120.9,2708000
20.8,NFO,22.15,NIFTY25MAY2318500CE,672000,2023-05-23 10:18:00+00,20.8,22.15,10207700
20.85,NFO,21.1,NIFTY25MAY2318500CE,719400,2023-05-23 10:19:00+00,19.9,20.55,10207700
124.7,NFO,128.1,NIFTY25MAY2318500PE,219950,2023-05-23 10:19:00+00,123.6,125.05,2708000
20.75,NFO,21.5,NIFTY25MAY2318500CE,379400,2023-05-23 10:20:00+00,20.55,20.85,10127450
125.55,NFO,125.8,NIFTY25MAY2318500PE,143600,2023-05-23 10:20:00+00,122.15,124.5,2719150
20.75,NFO,21.4,NIFTY25MAY2318500CE,201350,2023-05-23 10:21:00+00,20.55,20.55,10127450
125.05,NFO,125.75,NIFTY25MAY2318500PE,71050,2023-05-23 10:21:00+00,122.55,125.65,2719150
21.45,NFO,21.45,NIFTY25MAY2318500CE,174900,2023-05-23 10:22:00+00,20.75,21.05,10127450
122.3,NFO,125.15,NIFTY25MAY2318500PE,55400,2023-05-23 10:22:00+00,122.25,125.1,2719150
119.45,NFO,122.4,NIFTY25MAY2318500PE,108350,2023-05-23 10:23:00+00,118.4,122.4,2697650
22.6,NFO,22.6,NIFTY25MAY2318500CE,391050,2023-05-23 10:23:00+00,21.4,21.4,10142700
23.3,NFO,23.3,NIFTY25MAY2318500CE,351500,2023-05-23 10:24:00+00,22.3,22.5,10142700
116.2,NFO,120.15,NIFTY25MAY2318500PE,105800,2023-05-23 10:24:00+00,116.2,119.05,2697650
118.2,NFO,118.95,NIFTY25MAY2318500PE,122900,2023-05-23 10:25:00+00,115.5,116,2697650
22.8,NFO,23.6,NIFTY25MAY2318500CE,349900,2023-05-23 10:25:00+00,22.75,23.3,10142700
22.8,NFO,23.3,NIFTY25MAY2318500CE,258650,2023-05-23 10:26:00+00,22.75,23.05,10190100
118.35,NFO,118.95,NIFTY25MAY2318500PE,57250,2023-05-23 10:26:00+00,117.05,118.5,2691900
117.15,NFO,118.65,NIFTY25MAY2318500PE,101450,2023-05-23 10:27:00+00,115,118.65,2691900
23.15,NFO,23.7,NIFTY25MAY2318500CE,268700,2023-05-23 10:27:00+00,22.9,22.9,10190100
116.75,NFO,117.5,NIFTY25MAY2318500PE,31250,2023-05-23 10:28:00+00,115.35,117.2,2691900
23,NFO,23.7,NIFTY25MAY2318500CE,246550,2023-05-23 10:28:00+00,22.85,23.1,10190100
116.2,NFO,116.8,NIFTY25MAY2318500PE,54700,2023-05-23 10:29:00+00,114.15,116.25,2702650
23.1,NFO,23.75,NIFTY25MAY2318500CE,189050,2023-05-23 10:29:00+00,23.05,23.1,10228800
118.5,NFO,120.15,NIFTY25MAY2318500PE,98250,2023-05-23 10:30:00+00,115.25,116.1,2702650
22.5,NFO,23.4,NIFTY25MAY2318500CE,394200,2023-05-23 10:30:00+00,21.85,23.1,10228800
117.8,NFO,118.5,NIFTY25MAY2318500PE,49250,2023-05-23 10:31:00+00,115.65,118.25,2702650
22.55,NFO,23.2,NIFTY25MAY2318500CE,209750,2023-05-23 10:31:00+00,22.4,22.4,10228800
118.45,NFO,120,NIFTY25MAY2318500PE,59900,2023-05-23 10:32:00+00,116.4,118,2708950
22.25,NFO,22.9,NIFTY25MAY2318500CE,252250,2023-05-23 10:32:00+00,21.75,22.45,10282950
118.45,NFO,118.9,NIFTY25MAY2318500PE,84350,2023-05-23 10:33:00+00,115,118.9,2708950
22.3,NFO,23.4,NIFTY25MAY2318500CE,290800,2023-05-23 10:33:00+00,22.2,22.2,10282950
23.35,NFO,23.45,NIFTY25MAY2318500CE,238650,2023-05-23 10:34:00+00,22.1,22.45,10282950
114.9,NFO,118.85,NIFTY25MAY2318500PE,75650,2023-05-23 10:34:00+00,114.9,118.15,2708950
22.5,NFO,23.45,NIFTY25MAY2318500CE,213500,2023-05-23 10:35:00+00,22.4,23.35,10211800
117.8,NFO,117.8,NIFTY25MAY2318500PE,43100,2023-05-23 10:35:00+00,114.6,115.15,2750300
