Datetime,open,high,low,close,volume
2024-01-30 11:31:00+00,194.1,198.5,188.6,191.45,177675
2024-01-30 11:32:00+00,191.25,191.25,185.7,188.35,114180
2024-01-30 11:33:00+00,190.4,190.8,181.95,188.95,116490
2024-01-30 11:34:00+00,188.95,200,188.35,199.55,165660
2024-01-30 11:35:00+00,198.45,201.6,193,193.75,188205
2024-01-30 11:36:00+00,192.7,204.5,189.45,202.4,225945
2024-01-30 11:37:00+00,201,202.45,187.75,188.45,196305
2024-01-30 11:38:00+00,188.4,190,182.7,185,119775
2024-01-30 11:39:00+00,184.75,190.35,183.05,185.4,87015
2024-01-30 11:40:00+00,186.6,188,181.45,186.8,94650
2024-01-30 11:41:00+00,186.95,190.35,182.9,185.25,80685
2024-01-30 11:42:00+00,185.95,192.5,185.95,190.9,67950
2024-01-30 11:43:00+00,190.1,197.1,190.1,196.5,133545
2024-01-30 11:44:00+00,196.7,200,192.95,199.05,105690
2024-01-30 11:45:00+00,198.65,202.65,198,201.05,115185
2024-01-30 11:46:00+00,199.2,200.6,190.7,193.6,112305
2024-01-30 11:47:00+00,194.25,203.45,194.25,203.45,134820
2024-01-30 11:48:00+00,203.1,204.45,194.2,202.2,139380
2024-01-30 11:49:00+00,201.9,206.25,196.2,202.4,157245
2024-01-30 11:50:00+00,202.45,202.9,197.2,201.4,79095
2024-01-30 11:51:00+00,201.75,205.75,200.75,201.45,114015
2024-01-30 11:52:00+00,201.75,206.3,195.4,195.4,118410
2024-01-30 11:53:00+00,195.6,204.3,195.15,200.8,100485
2024-01-30 11:54:00+00,200.5,208.5,200.3,203.2,131850
2024-01-30 11:55:00+00,203.1,210.3,202.85,205.45,155850
2024-01-30 11:56:00+00,205.9,214.15,205.45,211.5,181320
2024-01-30 11:57:00+00,213,214.95,207.4,212.9,174735
2024-01-30 11:58:00+00,212.95,260.3,212.4,256.7,830415
2024-01-30 11:59:00+00,253.95,298.5,253.95,295.3,1501995
2024-01-30 12:00:00+00,293.6,305,288.8,289.15,1160445
2024-01-30 12:01:00+00,289.3,292.15,267.2,286.95,824880
2024-01-30 12:02:00+00,285.7,294.1,279.8,279.8,494640
2024-01-30 12:03:00+00,278,279.55,260,263.65,543825
2024-01-30 12:04:00+00,261.85,266.3,248.45,264.85,605280
2024-01-30 12:05:00+00,259.75,262.5,238.7,242.95,488790
2024-01-30 12:06:00+00,246.15,258.75,245.65,248,376590
2024-01-30 12:07:00+00,248.15,251.15,229.15,231.05,443670
2024-01-30 12:08:00+00,230.75,235.85,224.95,230.2,435840
2024-01-30 12:09:00+00,233.15,237.25,218.45,218.45,376110
2024-01-30 12:10:00+00,222,240.7,219.85,236.65,405705
2024-01-30 12:11:00+00,236.6,248.25,233,243.8,340890
2024-01-30 12:12:00+00,242.25,251.45,242.25,250.1,286095
2024-01-30 12:13:00+00,247.6,248.8,237.35,237.35,230310
2024-01-30 12:14:00+00,236.65,244.9,235.9,235.9,145395
2024-01-30 12:15:00+00,236.95,242.7,229.4,242.2,245985
2024-01-30 12:16:00+00,243.55,247.45,237.95,246.65,179475
2024-01-30 12:17:00+00,248,255.65,242.1,252,301950
2024-01-30 12:18:00+00,254.1,261.15,249.5,249.5,355065
2024-01-30 12:19:00+00,250.9,264.35,250,262.1,299745
2024-01-30 12:20:00+00,263.05,264,254.8,260.05,248130
2024-01-30 12:21:00+00,258.65,260,244.45,247.7,270615
2024-01-30 12:22:00+00,248.55,258.85,247.25,255.5,191175
2024-01-30 12:23:00+00,255.05,255.65,243.15,245.45,164550
2024-01-30 12:24:00+00,245,245,233.05,236.45,252165
2024-01-30 12:25:00+00,236.15,240,233,238.85,142215
2024-01-30 12:26:00+00,238.95,245,235.55,237,199935
2024-01-30 12:27:00+00,237.5,243.7,235.85,243.7,115650
2024-01-30 12:28:00+00,242.35,254.7,241.4,254.45,213885
2024-01-30 12:29:00+00,254.5,270,254.5,267.75,409305
2024-01-30 12:30:00+00,266.5,267.85,251.3,256.55,312285
2024-01-30 12:31:00+00,256.3,256.45,246.2,250,193395
2024-01-30 12:32:00+00,249.95,250.55,239.65,241.3,187725
2024-01-30 12:33:00+00,241.35,249.75,234.45,246.35,217575
2024-01-30 12:34:00+00,245.95,246.3,238.6,245.35,116775
2024-01-30 12:35:00+00,246.15,247,238.65,244.85,103320
2024-01-30 12:36:00+00,244.5,247.8,240.95,243.05,120195
2024-01-30 12:37:00+00,244.2,253.65,242.2,249.7,148755
2024-01-30 12:38:00+00,249.2,258,249.2,255.8,177015
2024-01-30 12:39:00+00,253.75,258.85,247,256.2,190650
2024-01-30 12:40:00+00,256.25,261.9,253,258.9,178320
2024-01-30 12:41:00+00,259.25,259.25,249.7,252.35,149175
2024-01-30 12:42:00+00,251.6,252.3,244,244.75,157335
2024-01-30 12:43:00+00,244.6,246,226.35,229.45,347550
2024-01-30 12:45:00+00,228.05,229.4,214.6,220.9,353340
2024-01-30 12:46:00+00,219.75,233,219.75,231.75,243180
2024-01-30 12:47:00+00,230.55,231.2,210.75,214.6,305175
2024-01-30 12:48:00+00,214.2,222.85,214.2,221.9,165585
2024-01-30 12:49:00+00,222.5,226.35,220.05,224.45,159510
2024-01-30 12:50:00+00,224.1,233.1,221.8,231.35,175230
2024-01-30 12:51:00+00,230.3,238.7,225.7,238.7,242175
2024-01-30 12:52:00+00,238.2,240.15,233.45,238.05,216780
2024-01-30 12:53:00+00,238.65,240.35,231.9,237.8,137025
2024-01-30 12:54:00+00,237.5,242.1,234.15,235.25,154125
2024-01-30 12:55:00+00,237,247.55,237,244.2,234285
2024-01-30 12:56:00+00,243.45,248.85,237.8,245.15,181665
2024-01-30 12:57:00+00,245.3,252.55,244.1,250.3,206970
2024-01-30 12:58:00+00,250.8,253.5,247.3,252,166395
2024-01-30 12:59:00+00,250.9,254.5,245.05,248.65,174480
2024-01-30 13:00:00+00,249,257,242.5,256.05,238470
2024-01-30 13:01:00+00,256.95,257.45,250.6,257.4,203370
2024-01-30 13:02:00+00,255.5,255.55,239.6,240.75,246240
2024-01-30 13:03:00+00,241,244.8,238.95,243.95,115770
2024-01-30 13:04:00+00,244.3,245.5,239.8,242.65,91035
2024-01-30 13:05:00+00,242.55,244.2,230.55,234.5,187875
2024-01-30 13:06:00+00,234.3,234.4,219.45,223.25,292380
2024-01-30 13:07:00+00,221.7,227.6,217.7,227.2,199755
2024-01-30 13:08:00+00,227.5,227.5,218.1,218.5,156210
2024-01-30 13:09:00+00,219.3,223.95,214.45,222.7,198090
2024-01-30 13:10:00+00,222.55,222.55,213.5,217.8,126855
2024-01-30 13:11:00+00,217.4,222.8,212.95,214.35,191820
2024-01-30 13:12:00+00,214.75,221.85,214.65,217.25,104625
2024-01-30 13:13:00+00,217.5,225,217.5,223,111270
2024-01-30 13:14:00+00,223.75,229.8,221.55,224.95,152895
2024-01-30 13:15:00+00,224.3,224.65,215.75,219.65,170880
2024-01-30 13:16:00+00,217.45,221.35,214.75,220.95,112860
2024-01-30 13:17:00+00,221.6,228.75,221,223,155175
2024-01-30 13:18:00+00,223.7,224,217.4,224,102165
2024-01-30 13:19:00+00,223.05,227.3,221.6,225.1,86625
2024-01-30 13:20:00+00,225.8,225.8,216.7,217.65,132480
2024-01-30 13:21:00+00,217.1,219.45,184.25,187.4,708750
2024-01-30 13:22:00+00,188.8,194,180.65,188.8,457260
2024-01-30 13:23:00+00,191.6,207.75,189.7,207.2,303405
2024-01-30 13:24:00+00,207.1,215.15,203.4,212.6,314685
2024-01-30 13:25:00+00,214,214,205.55,206.5,177675
2024-01-30 13:26:00+00,206.9,221.4,206.9,220.9,268710
2024-01-30 13:27:00+00,221.45,228.95,217.3,217.3,340815
2024-01-30 13:28:00+00,216.3,225.2,213.2,224.1,219480
2024-01-30 13:29:00+00,223.6,227.15,219.6,225.55,183615
2024-01-30 13:30:00+00,224.1,225.6,216.1,216.1,179460
2024-01-30 13:31:00+00,218.75,223.65,213.25,220.25,139650
2024-01-30 13:32:00+00,221.6,224,215.9,223,127335
2024-01-30 13:33:00+00,223.75,225.5,217.8,220.45,127530
2024-01-30 13:34:00+00,220.35,225,217.8,220.7,132900
2024-01-30 13:35:00+00,220.55,230.45,217.6,230.45,223905
2024-01-30 13:36:00+00,229.75,231.75,220,220.6,282270
2024-01-30 13:37:00+00,220.9,221.8,213.45,219.5,220620
2024-01-30 13:38:00+00,220.75,226,220.75,225.5,165930
2024-01-30 13:39:00+00,225.05,226.15,218.9,222.25,144300
2024-01-30 13:40:00+00,224.1,235.9,224.1,233.6,420375
2024-01-30 13:41:00+00,234.85,235,221.05,222.6,228975
2024-01-30 13:42:00+00,223.05,225.75,217.5,219.55,207660
2024-01-30 13:43:00+00,219.1,223.3,210.95,219.1,292620
2024-01-30 13:44:00+00,218.2,218.7,211.8,214.15,131520
2024-01-30 13:45:00+00,214.45,217.25,210.55,215.2,137970
2024-01-30 13:46:00+00,215.1,215.5,202.45,202.45,256830
2024-01-30 13:47:00+00,204.7,204.7,192.8,194.65,413385
2024-01-30 13:48:00+00,194.7,211.4,194.7,209.7,248130
2024-01-30 13:49:00+00,210.5,212.95,207.4,211,150330
2024-01-30 13:50:00+00,208.75,217.2,207.25,215,165510
2024-01-30 13:51:00+00,216,219.35,212.65,219.35,145365
2024-01-30 13:52:00+00,219.65,220.8,213.9,215.4,142980
2024-01-30 13:53:00+00,215.6,220.4,215.6,217.25,167100
2024-01-30 13:54:00+00,215.75,218,209.85,210.55,226245
2024-01-30 13:55:00+00,210.35,215.75,204.85,214.75,207330
2024-01-30 13:56:00+00,214.6,216.05,204.45,205.55,139815
2024-01-30 13:57:00+00,206.8,211.15,205.9,209.6,84045
2024-01-30 13:58:00+00,209.15,210.45,203.3,205.1,101775
2024-01-30 13:59:00+00,204.35,206.2,197.45,199.5,217065
2024-01-30 14:00:00+00,199.5,206.35,199.5,202.8,153705
2024-01-30 14:01:00+00,203,203,183.5,190,430860
2024-01-30 14:02:00+00,193.4,204.05,190.5,198.35,303975
2024-01-30 14:03:00+00,197.35,197.35,185.75,188,249660
2024-01-30 14:04:00+00,189.85,201.6,189.85,198.85,252015
2024-01-30 14:05:00+00,199.6,200,189.65,191.75,183045
2024-01-30 14:06:00+00,190.5,193.25,182.6,188.7,299070
2024-01-30 14:07:00+00,188.4,192.8,184.45,189.95,160965
2024-01-30 14:08:00+00,190.9,192.95,182.95,183.95,175740
2024-01-30 14:09:00+00,185.4,186.3,178.75,183.75,299895
2024-01-30 14:10:00+00,184.35,186.7,174.25,178.4,258810
2024-01-30 14:11:00+00,177.85,185.35,177.15,184.25,206430
2024-01-30 14:12:00+00,185.7,187.1,180.8,186.9,123285
2024-01-30 14:13:00+00,187.35,196.65,186.15,196.6,242655
2024-01-30 14:14:00+00,198.05,226.55,198.05,221.1,756750
2024-01-30 14:15:00+00,232,232,198.3,198.45,773220
2024-01-30 14:16:00+00,200,203.15,179.4,187.7,532710
2024-01-30 14:17:00+00,186.7,191.5,180.45,180.45,317280
2024-01-30 14:18:00+00,181.95,182.55,165.85,170.95,454155
2024-01-30 14:19:00+00,174.5,181.45,172.6,175.95,274980
2024-01-30 14:20:00+00,179.1,179.1,171.4,173.6,164640
2024-01-30 14:21:00+00,173.85,181,171.1,177.65,179025
2024-01-30 14:22:00+00,177.6,183.45,174.65,182.3,183150
2024-01-30 14:23:00+00,183.45,188.35,180.35,182.45,203850
2024-01-30 14:24:00+00,181.55,183.4,172.25,174.6,207915
2024-01-30 14:25:00+00,174.3,177.65,171.8,177.35,151860
2024-01-30 14:26:00+00,176.9,176.9,149.05,149.05,750795
2024-01-30 14:27:00+00,149.9,163.75,148,163.35,416790
2024-01-30 14:28:00+00,164.15,164.15,155.65,159.15,255015
2024-01-30 14:29:00+00,157.4,160.05,149.2,149.65,286395
2024-01-30 14:30:00+00,149.55,156.55,141.3,149.85,547560
2024-01-30 14:31:00+00,150.85,150.85,127.45,129.45,627210
2024-01-30 14:32:00+00,126.2,134.35,123.4,131.65,693465
2024-01-30 14:33:00+00,131.65,133.4,122.3,124.65,445350
2024-01-30 14:34:00+00,124.85,127.1,118.25,123.85,577605
2024-01-30 14:35:00+00,124.45,129.15,105.8,108,711315
2024-01-30 14:36:00+00,105.95,113.75,103.6,112.3,692010
2024-01-30 14:37:00+00,113.85,115.5,106.1,113.1,471165
2024-01-30 14:38:00+00,112.65,125,110.75,124.4,625725
2024-01-30 14:39:00+00,124.2,132.3,122.35,125.25,867825
2024-01-30 14:40:00+00,127.25,129.15,117.35,124.4,424275
2024-01-30 14:41:00+00,122.75,130.35,117.15,130.35,421155
2024-01-30 14:42:00+00,129.2,133.5,124.7,130.4,376485
2024-01-30 14:43:00+00,129.45,146,128.8,146,509295
2024-01-30 14:44:00+00,148.15,149.2,138.25,142.1,476025
2024-01-30 14:45:00+00,140.25,141.5,132.5,137.25,339060
2024-01-30 14:46:00+00,136,136,128.05,135.5,329700
2024-01-30 14:47:00+00,134.6,157.85,134.6,157.85,748815
2024-01-30 14:48:00+00,158.3,188.6,154.75,188.6,937545
2024-01-30 14:49:00+00,186.15,192,177.3,187.6,908055
2024-01-30 14:50:00+00,186.75,204.3,168.2,204.15,919725
2024-01-30 14:51:00+00,200.4,213.8,196.4,207.8,995085
2024-01-30 14:52:00+00,206.6,244.2,197.1,235.35,1154580
2024-01-30 14:53:00+00,236.25,237.85,202.95,207.65,826005
2024-01-30 14:54:00+00,209.8,220,202.1,205.55,448515
2024-01-30 14:55:00+00,206.8,223.15,203.55,207,385650
2024-01-30 14:56:00+00,210.15,219.45,202.45,217.15,312765
2024-01-30 14:57:00+00,215.55,216.6,195.2,206.35,383355
2024-01-30 14:58:00+00,206.6,217.4,202.5,216.1,197700
2024-01-30 14:59:00+00,218.3,220.6,206.35,211,333300
2024-01-30 15:00:00+00,209.45,241.3,199.5,199.5,750585
2024-01-30 15:01:00+00,197.3,197.3,171.15,178.85,779610
2024-01-30 15:02:00+00,187.6,204.3,178.75,201.7,490830
2024-01-30 15:03:00+00,202,221.75,196.8,216.7,509070
2024-01-30 15:04:00+00,214.1,214.1,201.3,204.85,394470
2024-01-30 15:05:00+00,205.15,211,194.25,195.9,289005
2024-01-30 15:06:00+00,193.2,207.2,191.2,198.55,265200
2024-01-30 15:07:00+00,198.95,206,194.8,198.2,189270
2024-01-30 15:08:00+00,197.05,207.75,196,206.6,267000
2024-01-30 15:09:00+00,206.45,207,196.7,200.3,177675
2024-01-30 15:10:00+00,201.1,206.45,201.1,202.6,182070
2024-01-30 15:11:00+00,203.85,207,198.5,201.15,176865
2024-01-30 15:12:00+00,201.05,204.55,199.15,199.15,139965
2024-01-30 15:13:00+00,200.55,208.5,195.3,207.25,291600
2024-01-30 15:14:00+00,206.9,224.15,203.8,223.6,343035
2024-01-30 15:15:00+00,224.3,234,210.85,212.9,585990
2024-01-30 15:16:00+00,212.2,229.9,212.2,228.85,348705
2024-01-30 15:17:00+00,229.8,232,213.95,214.4,353415
2024-01-30 15:18:00+00,214,214.45,193.35,207.15,561210
2024-01-30 15:19:00+00,209.4,209.4,201.15,204.1,225210
2024-01-30 15:20:00+00,208.95,218.15,208.5,217.35,303570
2024-01-30 15:21:00+00,216.55,224,215.7,221.9,312270
2024-01-30 15:22:00+00,220.1,222.75,208.6,216,292350
2024-01-30 15:23:00+00,215.9,217.05,206.8,212.05,231225
2024-01-30 15:24:00+00,210.45,213.8,193.15,195.05,387750
2024-01-30 15:25:00+00,198.7,198.95,160.8,166.05,570285
2024-01-30 15:26:00+00,163.6,167.6,160.4,164.7,485055
2024-01-30 15:27:00+00,165.75,166.2,152.3,152.3,643680
2024-01-30 15:28:00+00,152.75,154.55,143.2,144.75,765330
2024-01-30 15:29:00+00,145.45,145.45,139.25,141.05,619065
2024-01-30 15:30:00+00,142,142,142,142,2475
